pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190305,3702,SH,171.0,156.53,14.47,40.022,39.57858,0.44342,2019-03-05,Shanuzi
20190306,3002,PW,922.16,844.17,77.99,230.79,206.34426,24.44574,2019-03-06,Palmawasi
20190306,3006,NH,205.065,0.0,205.065,50.8,8.3845,42.4155,2019-03-06,Nuevo Horizonte
20190306,3702,SH,755.25,751.43,3.82,190.939,188.82351,2.11549,2019-03-06,Shanuzi
20190307,3002,PW,646.87,609.89,36.98,164.0,146.62879,17.37121,2019-03-07,Palmawasi
20190307,3006,NH,136.42,87.19,49.23,32.96,5.44002,27.51998,2019-03-07,Nuevo Horizonte
20190307,3702,SH,925.65,925.65,0.0,233.616,231.02768,2.58832,2019-03-07,Shanuzi
20190308,3002,PW,1042.67,929.54,113.13,255.1,228.0793,27.0207,2019-03-08,Palmawasi
20190308,3006,NH,282.49,93.13,189.36,62.71,10.35023,52.35977,2019-03-08,Nuevo Horizonte
20190308,3702,SH,772.2,772.2,0.0,197.834,195.64212,2.19188,2019-03-08,Shanuzi
20190309,3002,PW,1027.82,897.49,130.33,258.0,230.67212,27.32788,2019-03-09,Palmawasi
20190309,3006,NH,267.73,40.84,226.89,71.79,11.84888,59.94112,2019-03-09,Nuevo Horizonte
20190309,3702,SH,950.4,950.4,0.0,242.296,239.61151,2.68449,2019-03-09,Shanuzi
20190310,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-10,Palmawasi
20190310,3702,SH,713.7,713.7,0.0,172.842,170.92702,1.91498,2019-03-10,Shanuzi
20190311,3002,PW,856.7,793.36,63.34,215.0,192.22677,22.77323,2019-03-11,Palmawasi
20190311,3006,NH,195.425,0.0,195.425,45.54,7.51634,38.02366,2019-03-11,Nuevo Horizonte
20190311,3702,SH,252.0,252.0,0.0,61.455,60.77412,0.68088,2019-03-11,Shanuzi
