FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-02-22,Palmawasi,33.0,2234.0,161.0,0.0,0.0,46.0,2.0,980340.7194,45249.0
2022-02-22,Shanuzi,,,,,,,,903101.65727,60531.0
2022-02-23,Nuevo Horizonte,,,,,,,,27192.49591,1869.0
2022-02-23,Palmawasi,43.0,3126.0,205.0,0.0,0.0,109.0,23.0,936293.38198,43270.0
2022-02-23,Shanuzi,,,,,,,,1030903.4471799999,66914.0
2022-02-24,Nuevo Horizonte,,,,,,,,20211.6425,1390.0
2022-02-24,Palmawasi,19.0,3952.0,495.0,2.0,0.0,135.0,26.0,1018237.8541700001,47412.0
2022-02-24,Shanuzi,,,,,,,,1053206.7517900001,70378.0
2022-02-25,Nuevo Horizonte,,,,,,,,23538.24804,1606.0
2022-02-25,Palmawasi,32.0,3394.0,203.0,0.0,0.0,91.0,26.0,927891.32593,42553.0
2022-02-25,Shanuzi,,,,,,,,1071828.7040300001,70527.0
2022-02-26,Nuevo Horizonte,,,,,,,,19273.19637,1319.0
2022-02-26,Palmawasi,,,,,,,,542299.24937,25408.0
2022-02-26,Shanuzi,,,,,,,,849325.8139599999,55595.0
2022-02-28,Nuevo Horizonte,,,,,,,,20114.00542,1365.0
2022-02-28,Palmawasi,16.0,2691.0,142.0,0.0,0.0,68.0,17.0,771754.1601099999,35417.0
2022-02-28,Shanuzi,,,,,,,,853750.06543,58911.0
2022-03-01,Nuevo Horizonte,,,,,,,,17900.07746,1223.0
2022-03-01,Palmawasi,21.0,3121.0,115.0,0.0,0.0,95.0,18.0,769964.31734,35305.0
2022-03-01,Shanuzi,,,,,,,,751655.7562299999,52375.0
2022-03-02,Nuevo Horizonte,,,,,,,,13286.851,834.0
2022-03-02,Palmawasi,42.0,4633.0,240.0,3.0,0.0,137.0,33.0,823946.51455,38700.0
2022-03-02,Shanuzi,,,,,,,,815553.10356,54142.0
2022-03-03,Nuevo Horizonte,,,,,,,,13595.6326,819.0
2022-03-03,Palmawasi,61.0,3553.0,219.0,0.0,0.0,93.0,27.0,809336.42105,38332.0
