FECHA,PLANTACION,PRECIPITACION_TOTAL
2019-10-18,Nuevo Horizonte,0.0
2019-10-18,Palmawasi,273.09999999999997
2019-10-19,Nuevo Horizonte,0.4
2019-10-19,Palmawasi,80.4
2019-10-20,Palmawasi,156.7
2019-10-21,Nuevo Horizonte,0.2
2019-10-21,Palmawasi,1.7
2019-10-22,Nuevo Horizonte,0.0
2019-10-22,Palmawasi,3.5
2019-10-23,Nuevo Horizonte,45.5
2019-10-23,Palmawasi,184.4
2019-10-24,Nuevo Horizonte,0.5
2019-10-24,Palmawasi,17.8
2019-10-25,Nuevo Horizonte,0.0
2019-10-25,Palmawasi,36.3
2019-10-26,Nuevo Horizonte,20.5
2019-10-26,Palmawasi,93.2
2019-10-27,Nuevo Horizonte,22.0
2019-10-27,Palmawasi,66.9
2019-10-28,Nuevo Horizonte,1.9
2019-10-28,Palmawasi,190.2
2019-10-29,Nuevo Horizonte,0.0
2019-10-29,Palmawasi,0.5
2019-10-30,Nuevo Horizonte,19.4
2019-10-30,Palmawasi,11.0
2019-10-31,Nuevo Horizonte,0.8999999999999999
2019-10-31,Palmawasi,3.5
2019-11-01,Nuevo Horizonte,0.0
2019-11-01,Palmawasi,17.2
2019-11-02,Nuevo Horizonte,0.0
2019-11-02,Palmawasi,1.0
2019-11-03,Nuevo Horizonte,0.0
2019-11-03,Palmawasi,5.4
2019-11-04,Nuevo Horizonte,0.0
2019-11-04,Palmawasi,13.799999999999999
2019-11-05,Nuevo Horizonte,2.6
2019-11-05,Palmawasi,68.3
2019-11-06,Nuevo Horizonte,36.2
2019-11-06,Palmawasi,55.8
2019-11-07,Nuevo Horizonte,49.3
2019-11-07,Palmawasi,111.4
2019-11-08,Nuevo Horizonte,0.0
2019-11-08,Palmawasi,42.2
2019-11-09,Nuevo Horizonte,0.0
2019-11-09,Palmawasi,39.5
2019-11-10,Nuevo Horizonte,11.5
2019-11-10,Palmawasi,379.7
2019-11-11,Nuevo Horizonte,52.5
2019-11-11,Palmawasi,316.3
2019-11-12,Nuevo Horizonte,47.0
2019-11-12,Palmawasi,249.43
2019-11-13,Nuevo Horizonte,9.2
2019-11-13,Palmawasi,14.0
2019-11-14,Nuevo Horizonte,0.0
2019-11-14,Palmawasi,3.5
2019-11-15,Nuevo Horizonte,7.1
2019-11-15,Palmawasi,455.5
2019-11-16,Nuevo Horizonte,86.89999999999999
2019-11-16,Palmawasi,1095.3
2019-11-17,Nuevo Horizonte,0.0
2019-11-17,Palmawasi,0.0
2019-11-18,Nuevo Horizonte,0.0
2019-11-18,Palmawasi,0.0
2019-11-19,Nuevo Horizonte,0.0
2019-11-19,Palmawasi,5.5
2019-11-20,Nuevo Horizonte,0.0
2019-11-20,Palmawasi,0.0
2019-11-21,Nuevo Horizonte,0.0
2019-11-21,Palmawasi,0.0
2019-11-22,Nuevo Horizonte,0.0
2019-11-22,Palmawasi,16.099999999999998
2019-11-23,Nuevo Horizonte,33.0
2019-11-23,Palmawasi,0.0
2019-11-24,Nuevo Horizonte,0.0
2019-11-24,Palmawasi,108.8
2019-11-25,Nuevo Horizonte,0.0
2019-11-25,Palmawasi,5.2
2019-11-26,Nuevo Horizonte,0.0
2019-11-26,Palmawasi,0.0
2019-11-27,Nuevo Horizonte,0.0
2019-11-27,Palmawasi,0.0
2019-11-28,Nuevo Horizonte,0.0
2019-11-28,Palmawasi,16.1
2019-11-29,Nuevo Horizonte,0.0
2019-11-29,Palmawasi,6.3
2019-11-30,Nuevo Horizonte,0.0
2019-11-30,Palmawasi,101.3
2019-12-01,Nuevo Horizonte,15.5
2019-12-01,Palmawasi,198.7
2019-12-02,Nuevo Horizonte,15.6
2019-12-02,Palmawasi,220.6
2019-12-03,Nuevo Horizonte,0.0
2019-12-03,Palmawasi,31.5
2019-12-04,Nuevo Horizonte,38.5
2019-12-04,Palmawasi,193.5
2019-12-05,Nuevo Horizonte,33.0
2019-12-05,Palmawasi,243.9
2019-12-06,Nuevo Horizonte,4.0
2019-12-06,Palmawasi,206.2
2019-12-07,Nuevo Horizonte,20.0
2019-12-07,Palmawasi,350.2
2019-12-08,Nuevo Horizonte,90.0
2019-12-08,Palmawasi,329.6
2019-12-09,Nuevo Horizonte,2.5
2019-12-09,Palmawasi,114.5
