PLANTACION,FECHA,campania_min,campania_max,campania_prom,campania_median,distinct_count
Nuevo Horizonte,2022-12-28,2011.0,2014.0,2011.375,2011.0,2
Nuevo Horizonte,2023-01-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-05,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-07,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-09,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2023-01-10,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-11,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-17,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-19,2014.0,2014.0,2014.0,2014.0,1
Nuevo Horizonte,2023-01-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-25,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-26,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-27,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-28,2011.0,2014.0,2011.75,2011.0,2
Nuevo Horizonte,2023-01-30,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-01-31,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-07,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-08,2014.0,2014.0,2014.0,2014.0,1
Nuevo Horizonte,2023-02-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-16,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-17,2011.0,2014.0,2012.0,2011.0,2
Nuevo Horizonte,2023-02-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-25,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-02-27,2011.0,2014.0,2011.5,2011.0,2
Nuevo Horizonte,2023-02-28,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-05,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-10,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2023-04-11,2011.0,2014.0,2011.5,2011.0,2
